subj,session,trial,rt,object_response,category,condition,imagename
clip,1,1,NaN,elephant,bear,NaN,bear0_bear1.png
clip,1,2,NaN,elephant,bear,NaN,bear0_bicycle1.png
clip,1,3,NaN,bear,bear,NaN,bear0_bird1.png
clip,1,4,NaN,bear,bear,NaN,bear0_bottle1.png
clip,1,5,NaN,bear,bear,NaN,bear0_cat1.png
clip,1,6,NaN,elephant,bear,NaN,bear0_chair1.png
clip,1,7,NaN,clock,bear,NaN,bear0_clock1.png
clip,1,8,NaN,bear,bear,NaN,bear0_dog1.png
clip,1,9,NaN,elephant,bear,NaN,bear0_elephant1.png
clip,1,10,NaN,knife,bear,NaN,bear0_knife1.png
clip,1,11,NaN,bear,bear,NaN,bear1_bear1.png
clip,1,12,NaN,bear,bear,NaN,bear1_bicycle1.png
clip,1,13,NaN,bear,bear,NaN,bear1_bird1.png
clip,1,14,NaN,bottle,bear,NaN,bear1_bottle1.png
clip,1,15,NaN,bear,bear,NaN,bear1_cat1.png
clip,1,16,NaN,bear,bear,NaN,bear1_chair1.png
clip,1,17,NaN,clock,bear,NaN,bear1_clock1.png
clip,1,18,NaN,bear,bear,NaN,bear1_dog1.png
clip,1,19,NaN,bear,bear,NaN,bear1_elephant1.png
clip,1,20,NaN,dog,bear,NaN,bear1_knife1.png
clip,1,21,NaN,bear,bear,NaN,bear2_bear1.png
clip,1,22,NaN,bicycle,bear,NaN,bear2_bicycle1.png
clip,1,23,NaN,elephant,bear,NaN,bear2_bird1.png
clip,1,24,NaN,bottle,bear,NaN,bear2_bottle1.png
clip,1,25,NaN,bear,bear,NaN,bear2_cat1.png
clip,1,26,NaN,chair,bear,NaN,bear2_chair1.png
clip,1,27,NaN,clock,bear,NaN,bear2_clock1.png
clip,1,28,NaN,elephant,bear,NaN,bear2_dog1.png
clip,1,29,NaN,cat,bear,NaN,bear2_elephant1.png
clip,1,30,NaN,knife,bear,NaN,bear2_knife1.png
clip,1,31,NaN,dog,bear,NaN,bear3_bear1.png
clip,1,32,NaN,bottle,bear,NaN,bear3_bicycle1.png
clip,1,33,NaN,bird,bear,NaN,bear3_bird1.png
clip,1,34,NaN,bottle,bear,NaN,bear3_bottle1.png
clip,1,35,NaN,cat,bear,NaN,bear3_cat1.png
clip,1,36,NaN,elephant,bear,NaN,bear3_chair1.png
clip,1,37,NaN,clock,bear,NaN,bear3_clock1.png
clip,1,38,NaN,bear,bear,NaN,bear3_dog1.png
clip,1,39,NaN,elephant,bear,NaN,bear3_elephant1.png
clip,1,40,NaN,knife,bear,NaN,bear3_knife1.png
clip,1,41,NaN,bear,bear,NaN,bear4_bear1.png
