subj,session,trial,rt,object_response,category,condition,imagename
dinov2,1,1,NaN,bear,bear,NaN,bear0_bear1.png
dinov2,1,2,NaN,knife,bear,NaN,bear0_bicycle1.png
dinov2,1,3,NaN,bear,bear,NaN,bear0_bird1.png
dinov2,1,4,NaN,bottle,bear,NaN,bear0_bottle1.png
dinov2,1,5,NaN,bear,bear,NaN,bear0_cat1.png
dinov2,1,6,NaN,bear,bear,NaN,bear0_chair1.png
dinov2,1,7,NaN,clock,bear,NaN,bear0_clock1.png
dinov2,1,8,NaN,bear,bear,NaN,bear0_dog1.png
dinov2,1,9,NaN,elephant,bear,NaN,bear0_elephant1.png
dinov2,1,10,NaN,knife,bear,NaN,bear0_knife1.png
dinov2,1,11,NaN,bear,bear,NaN,bear1_bear1.png
dinov2,1,12,NaN,bear,bear,NaN,bear1_bicycle1.png
dinov2,1,13,NaN,bear,bear,NaN,bear1_bird1.png
dinov2,1,14,NaN,bear,bear,NaN,bear1_bottle1.png
dinov2,1,15,NaN,bear,bear,NaN,bear1_cat1.png
dinov2,1,16,NaN,bear,bear,NaN,bear1_chair1.png
dinov2,1,17,NaN,clock,bear,NaN,bear1_clock1.png
dinov2,1,18,NaN,bear,bear,NaN,bear1_dog1.png
dinov2,1,19,NaN,bear,bear,NaN,bear1_elephant1.png
dinov2,1,20,NaN,knife,bear,NaN,bear1_knife1.png
dinov2,1,21,NaN,bear,bear,NaN,bear2_bear1.png
dinov2,1,22,NaN,bicycle,bear,NaN,bear2_bicycle1.png
dinov2,1,23,NaN,bear,bear,NaN,bear2_bird1.png
dinov2,1,24,NaN,bottle,bear,NaN,bear2_bottle1.png
dinov2,1,25,NaN,bear,bear,NaN,bear2_cat1.png
dinov2,1,26,NaN,bear,bear,NaN,bear2_chair1.png
dinov2,1,27,NaN,clock,bear,NaN,bear2_clock1.png
dinov2,1,28,NaN,bear,bear,NaN,bear2_dog1.png
dinov2,1,29,NaN,elephant,bear,NaN,bear2_elephant1.png
dinov2,1,30,NaN,knife,bear,NaN,bear2_knife1.png
dinov2,1,31,NaN,bear,bear,NaN,bear3_bear1.png
dinov2,1,32,NaN,knife,bear,NaN,bear3_bicycle1.png
dinov2,1,33,NaN,bear,bear,NaN,bear3_bird1.png
dinov2,1,34,NaN,bottle,bear,NaN,bear3_bottle1.png
dinov2,1,35,NaN,bear,bear,NaN,bear3_cat1.png
dinov2,1,36,NaN,chair,bear,NaN,bear3_chair1.png
dinov2,1,37,NaN,clock,bear,NaN,bear3_clock1.png
dinov2,1,38,NaN,bear,bear,NaN,bear3_dog1.png
dinov2,1,39,NaN,elephant,bear,NaN,bear3_elephant1.png
dinov2,1,40,NaN,knife,bear,NaN,bear3_knife1.png
dinov2,1,41,NaN,bear,bear,NaN,bear4_bear1.png
dinov2,1,42,NaN,bicycle,bear,NaN,bear4_bicycle1.png
dinov2,1,43,NaN,bear,bear,NaN,bear4_bird1.png
dinov2,1,44,NaN,bottle,bear,NaN,bear4_bottle1.png
dinov2,1,45,NaN,bear,bear,NaN,bear4_cat1.png
dinov2,1,46,NaN,chair,bear,NaN,bear4_chair1.png
dinov2,1,47,NaN,clock,bear,NaN,bear4_clock1.png
dinov2,1,48,NaN,bear,bear,NaN,bear4_dog1.png
dinov2,1,49,NaN,elephant,bear,NaN,bear4_elephant1.png
dinov2,1,50,NaN,knife,bear,NaN,bear4_knife1.png
dinov2,1,51,NaN,bear,bear,NaN,bear5_bear1.png
dinov2,1,52,NaN,bear,bear,NaN,bear5_bicycle1.png
dinov2,1,53,NaN,bear,bear,NaN,bear5_bird1.png
dinov2,1,54,NaN,bottle,bear,NaN,bear5_bottle1.png
dinov2,1,55,NaN,bear,bear,NaN,bear5_cat1.png
dinov2,1,56,NaN,bear,bear,NaN,bear5_chair1.png
dinov2,1,57,NaN,clock,bear,NaN,bear5_clock1.png
dinov2,1,58,NaN,bear,bear,NaN,bear5_dog1.png
dinov2,1,59,NaN,bear,bear,NaN,bear5_elephant1.png
dinov2,1,60,NaN,knife,bear,NaN,bear5_knife1.png
dinov2,1,61,NaN,bear,bear,NaN,bear6_bear1.png
dinov2,1,62,NaN,bear,bear,NaN,bear6_bicycle1.png
dinov2,1,63,NaN,bear,bear,NaN,bear6_bird1.png
dinov2,1,64,NaN,bear,bear,NaN,bear6_bottle1.png
dinov2,1,65,NaN,bear,bear,NaN,bear6_cat1.png
dinov2,1,66,NaN,bear,bear,NaN,bear6_chair1.png
dinov2,1,67,NaN,clock,bear,NaN,bear6_clock1.png
dinov2,1,68,NaN,bear,bear,NaN,bear6_dog1.png
dinov2,1,69,NaN,bear,bear,NaN,bear6_elephant1.png
dinov2,1,70,NaN,knife,bear,NaN,bear6_knife1.png
dinov2,1,71,NaN,bear,bear,NaN,bear7_bear1.png
dinov2,1,72,NaN,bear,bear,NaN,bear7_bicycle1.png
dinov2,1,73,NaN,bear,bear,NaN,bear7_bird1.png
dinov2,1,74,NaN,bear,bear,NaN,bear7_bottle1.png
dinov2,1,75,NaN,bear,bear,NaN,bear7_cat1.png
dinov2,1,76,NaN,bear,bear,NaN,bear7_chair1.png
dinov2,1,77,NaN,clock,bear,NaN,bear7_clock1.png
dinov2,1,78,NaN,bear,bear,NaN,bear7_dog1.png
dinov2,1,79,NaN,bear,bear,NaN,bear7_elephant1.png
dinov2,1,80,NaN,knife,bear,NaN,bear7_knife1.png
dinov2,1,81,NaN,bear,bear,NaN,bear8_bear1.png
dinov2,1,82,NaN,bear,bear,NaN,bear8_bicycle1.png
dinov2,1,83,NaN,bear,bear,NaN,bear8_bird1.png
dinov2,1,84,NaN,bottle,bear,NaN,bear8_bottle1.png
dinov2,1,85,NaN,bear,bear,NaN,bear8_cat1.png
dinov2,1,86,NaN,bear,bear,NaN,bear8_chair1.png
dinov2,1,87,NaN,clock,bear,NaN,bear8_clock1.png
dinov2,1,88,NaN,bear,bear,NaN,bear8_dog1.png
dinov2,1,89,NaN,bear,bear,NaN,bear8_elephant1.png
dinov2,1,90,NaN,knife,bear,NaN,bear8_knife1.png
dinov2,1,91,NaN,bicycle,bicycle,NaN,bicycle0_bear1.png
dinov2,1,92,NaN,bicycle,bicycle,NaN,bicycle0_bicycle1.png
dinov2,1,93,NaN,bicycle,bicycle,NaN,bicycle0_bird1.png
dinov2,1,94,NaN,bottle,bicycle,NaN,bicycle0_bottle1.png
dinov2,1,95,NaN,bicycle,bicycle,NaN,bicycle0_cat1.png
dinov2,1,96,NaN,chair,bicycle,NaN,bicycle0_chair1.png
dinov2,1,97,NaN,clock,bicycle,NaN,bicycle0_clock1.png
dinov2,1,98,NaN,bicycle,bicycle,NaN,bicycle0_dog1.png
dinov2,1,99,NaN,bicycle,bicycle,NaN,bicycle0_elephant1.png
dinov2,1,100,NaN,knife,bicycle,NaN,bicycle0_knife1.png
dinov2,1,101,NaN,bicycle,bicycle,NaN,bicycle1_bear1.png
dinov2,1,102,NaN,bicycle,bicycle,NaN,bicycle1_bicycle1.png
