subj,session,trial,rt,object_response,category,condition,imagename
clip,1,1,NaN,airplane,airplane,NaN,n02690373_00008292.png
clip,1,2,NaN,airplane,airplane,NaN,n02690373_00010597.png
clip,1,3,NaN,airplane,airplane,NaN,n02690373_00016995.png
clip,1,4,NaN,knife,airplane,NaN,n02690373_00018616.png
clip,1,5,NaN,knife,airplane,NaN,n02690373_00028019.png
clip,1,6,NaN,airplane,airplane,NaN,n02690373_00030531.png
clip,1,7,NaN,airplane,airplane,NaN,n02690373_00032804.png
clip,1,8,NaN,airplane,airplane,NaN,n02690373_00033920.png
clip,1,9,NaN,airplane,airplane,NaN,n02690373_00039213.png
clip,1,10,NaN,car,airplane,NaN,n02690373_00043242.png
clip,1,11,NaN,airplane,airplane,NaN,n02690373_00044253.png
clip,1,12,NaN,airplane,airplane,NaN,n02690373_00046234.png
clip,1,13,NaN,airplane,airplane,NaN,n02690373_00046971.png
clip,1,14,NaN,elephant,bear,NaN,n02132136_00000871.png
clip,1,15,NaN,elephant,bear,NaN,n02132136_00003044.png
clip,1,16,NaN,elephant,bear,NaN,n02132136_00011967.png
clip,1,17,NaN,knife,bear,NaN,n02132136_00013482.png
clip,1,18,NaN,elephant,bear,NaN,n02132136_00015955.png
clip,1,19,NaN,elephant,bear,NaN,n02132136_00034130.png
clip,1,20,NaN,cat,bear,NaN,n02132136_00036597.png
clip,1,21,NaN,elephant,bear,NaN,n02132136_00038263.png
clip,1,22,NaN,knife,bear,NaN,n02132136_00039777.png
clip,1,23,NaN,knife,bear,NaN,n02132136_00042274.png
clip,1,24,NaN,knife,bear,NaN,n02132136_00046207.png
clip,1,25,NaN,bear,bear,NaN,n02132136_00046763.png
clip,1,26,NaN,bear,bear,NaN,n02132136_00049345.png
clip,1,27,NaN,bear,bear,NaN,n02133161_00006350.png
clip,1,28,NaN,knife,bear,NaN,n02133161_00012507.png
clip,1,29,NaN,elephant,bear,NaN,n02133161_00033693.png
clip,1,30,NaN,bear,bear,NaN,n02133161_00035292.png
