subj,session,trial,rt,object_response,category,condition,imagename
clip,1,1,NaN,bicycle,bear,NaN,bear0_bicycle1.png
clip,1,2,NaN,bear,bear,NaN,bear0_bird1.png
clip,1,3,NaN,bottle,bear,NaN,bear0_bottle1.png
clip,1,4,NaN,cat,bear,NaN,bear0_cat1.png
clip,1,5,NaN,elephant,bear,NaN,bear0_chair1.png
clip,1,6,NaN,clock,bear,NaN,bear0_clock1.png
clip,1,7,NaN,cat,bear,NaN,bear0_dog1.png
clip,1,8,NaN,elephant,bear,NaN,bear0_elephant1.png
clip,1,9,NaN,knife,bear,NaN,bear0_knife1.png
clip,1,10,NaN,bicycle,bear,NaN,bear1_bicycle1.png
clip,1,11,NaN,dog,bear,NaN,bear1_bird1.png
clip,1,12,NaN,bottle,bear,NaN,bear1_bottle1.png
clip,1,13,NaN,dog,bear,NaN,bear1_cat1.png
clip,1,14,NaN,chair,bear,NaN,bear1_chair1.png
clip,1,15,NaN,clock,bear,NaN,bear1_clock1.png
clip,1,16,NaN,cat,bear,NaN,bear1_dog1.png
clip,1,17,NaN,elephant,bear,NaN,bear1_elephant1.png
clip,1,18,NaN,knife,bear,NaN,bear1_knife1.png
clip,1,19,NaN,bicycle,bear,NaN,bear2_bicycle1.png
clip,1,20,NaN,bear,bear,NaN,bear2_bird1.png
clip,1,21,NaN,bottle,bear,NaN,bear2_bottle1.png
clip,1,22,NaN,dog,bear,NaN,bear2_cat1.png
clip,1,23,NaN,chair,bear,NaN,bear2_chair1.png
clip,1,24,NaN,clock,bear,NaN,bear2_clock1.png
clip,1,25,NaN,dog,bear,NaN,bear2_dog1.png
clip,1,26,NaN,elephant,bear,NaN,bear2_elephant1.png
clip,1,27,NaN,knife,bear,NaN,bear2_knife1.png
clip,1,28,NaN,elephant,bear,NaN,bear3_bicycle1.png
clip,1,29,NaN,bear,bear,NaN,bear3_bird1.png
clip,1,30,NaN,bear,bear,NaN,bear3_bottle1.png
clip,1,31,NaN,bear,bear,NaN,bear3_cat1.png
clip,1,32,NaN,bear,bear,NaN,bear3_chair1.png
clip,1,33,NaN,clock,bear,NaN,bear3_clock1.png
clip,1,34,NaN,bear,bear,NaN,bear3_dog1.png
clip,1,35,NaN,bear,bear,NaN,bear3_elephant1.png
clip,1,36,NaN,elephant,bear,NaN,bear3_knife1.png
clip,1,37,NaN,bicycle,bear,NaN,bear4_bicycle1.png
clip,1,38,NaN,knife,bear,NaN,bear4_bird1.png
clip,1,39,NaN,bottle,bear,NaN,bear4_bottle1.png
clip,1,40,NaN,dog,bear,NaN,bear4_cat1.png
clip,1,41,NaN,chair,bear,NaN,bear4_chair1.png
clip,1,42,NaN,clock,bear,NaN,bear4_clock1.png
clip,1,43,NaN,cat,bear,NaN,bear4_dog1.png
clip,1,44,NaN,knife,bear,NaN,bear4_elephant1.png
clip,1,45,NaN,knife,bear,NaN,bear4_knife1.png
clip,1,46,NaN,bicycle,bear,NaN,bear5_bicycle1.png
clip,1,47,NaN,bear,bear,NaN,bear5_bird1.png
clip,1,48,NaN,bottle,bear,NaN,bear5_bottle1.png
clip,1,49,NaN,dog,bear,NaN,bear5_cat1.png
clip,1,50,NaN,chair,bear,NaN,bear5_chair1.png
clip,1,51,NaN,clock,bear,NaN,bear5_clock1.png
clip,1,52,NaN,dog,bear,NaN,bear5_dog1.png
clip,1,53,NaN,elephant,bear,NaN,bear5_elephant1.png
clip,1,54,NaN,knife,bear,NaN,bear5_knife1.png
clip,1,55,NaN,bicycle,bear,NaN,bear6_bicycle1.png
clip,1,56,NaN,cat,bear,NaN,bear6_bird1.png
clip,1,57,NaN,bottle,bear,NaN,bear6_bottle1.png
clip,1,58,NaN,elephant,bear,NaN,bear6_cat1.png
clip,1,59,NaN,elephant,bear,NaN,bear6_chair1.png
clip,1,60,NaN,clock,bear,NaN,bear6_clock1.png
clip,1,61,NaN,elephant,bear,NaN,bear6_dog1.png
clip,1,62,NaN,elephant,bear,NaN,bear6_elephant1.png
clip,1,63,NaN,knife,bear,NaN,bear6_knife1.png
clip,1,64,NaN,bicycle,bear,NaN,bear7_bicycle1.png
clip,1,65,NaN,bird,bear,NaN,bear7_bird1.png
clip,1,66,NaN,bottle,bear,NaN,bear7_bottle1.png
clip,1,67,NaN,dog,bear,NaN,bear7_cat1.png
clip,1,68,NaN,chair,bear,NaN,bear7_chair1.png
clip,1,69,NaN,clock,bear,NaN,bear7_clock1.png
clip,1,70,NaN,dog,bear,NaN,bear7_dog1.png
clip,1,71,NaN,elephant,bear,NaN,bear7_elephant1.png
clip,1,72,NaN,knife,bear,NaN,bear7_knife1.png
clip,1,73,NaN,bicycle,bear,NaN,bear8_bicycle1.png
clip,1,74,NaN,cat,bear,NaN,bear8_bird1.png
clip,1,75,NaN,bottle,bear,NaN,bear8_bottle1.png
clip,1,76,NaN,cat,bear,NaN,bear8_cat1.png
clip,1,77,NaN,chair,bear,NaN,bear8_chair1.png
clip,1,78,NaN,clock,bear,NaN,bear8_clock1.png
clip,1,79,NaN,cat,bear,NaN,bear8_dog1.png
clip,1,80,NaN,elephant,bear,NaN,bear8_elephant1.png
clip,1,81,NaN,knife,bear,NaN,bear8_knife1.png
clip,1,82,NaN,dog,bicycle,NaN,bicycle0_bear1.png
clip,1,83,NaN,bird,bicycle,NaN,bicycle0_bird1.png
clip,1,84,NaN,bottle,bicycle,NaN,bicycle0_bottle1.png
clip,1,85,NaN,dog,bicycle,NaN,bicycle0_cat1.png
clip,1,86,NaN,chair,bicycle,NaN,bicycle0_chair1.png
clip,1,87,NaN,clock,bicycle,NaN,bicycle0_clock1.png
clip,1,88,NaN,dog,bicycle,NaN,bicycle0_dog1.png
clip,1,89,NaN,elephant,bicycle,NaN,bicycle0_elephant1.png
clip,1,90,NaN,knife,bicycle,NaN,bicycle0_knife1.png
clip,1,91,NaN,bicycle,bicycle,NaN,bicycle1_bear1.png
clip,1,92,NaN,bicycle,bicycle,NaN,bicycle1_bird1.png
clip,1,93,NaN,bicycle,bicycle,NaN,bicycle1_bottle1.png
clip,1,94,NaN,bicycle,bicycle,NaN,bicycle1_cat1.png
clip,1,95,NaN,chair,bicycle,NaN,bicycle1_chair1.png
clip,1,96,NaN,clock,bicycle,NaN,bicycle1_clock1.png
clip,1,97,NaN,bicycle,bicycle,NaN,bicycle1_dog1.png
clip,1,98,NaN,bicycle,bicycle,NaN,bicycle1_elephant1.png
clip,1,99,NaN,bicycle,bicycle,NaN,bicycle1_knife1.png
clip,1,100,NaN,bicycle,bicycle,NaN,bicycle2_bear1.png
clip,1,101,NaN,bicycle,bicycle,NaN,bicycle2_bird1.png
clip,1,102,NaN,bicycle,bicycle,NaN,bicycle2_bottle1.png
clip,1,103,NaN,bicycle,bicycle,NaN,bicycle2_cat1.png
clip,1,104,NaN,bicycle,bicycle,NaN,bicycle2_chair1.png
clip,1,105,NaN,clock,bicycle,NaN,bicycle2_clock1.png
clip,1,106,NaN,bicycle,bicycle,NaN,bicycle2_dog1.png
clip,1,107,NaN,bicycle,bicycle,NaN,bicycle2_elephant1.png
clip,1,108,NaN,bicycle,bicycle,NaN,bicycle2_knife1.png
clip,1,109,NaN,dog,bicycle,NaN,bicycle3_bear1.png
clip,1,110,NaN,knife,bicycle,NaN,bicycle3_bird1.png
clip,1,111,NaN,bottle,bicycle,NaN,bicycle3_bottle1.png
clip,1,112,NaN,knife,bicycle,NaN,bicycle3_cat1.png
clip,1,113,NaN,chair,bicycle,NaN,bicycle3_chair1.png
clip,1,114,NaN,clock,bicycle,NaN,bicycle3_clock1.png
clip,1,115,NaN,knife,bicycle,NaN,bicycle3_dog1.png
clip,1,116,NaN,knife,bicycle,NaN,bicycle3_elephant1.png
clip,1,117,NaN,knife,bicycle,NaN,bicycle3_knife1.png
clip,1,118,NaN,knife,bicycle,NaN,bicycle4_bear1.png
clip,1,119,NaN,knife,bicycle,NaN,bicycle4_bird1.png
clip,1,120,NaN,bottle,bicycle,NaN,bicycle4_bottle1.png
clip,1,121,NaN,knife,bicycle,NaN,bicycle4_cat1.png
clip,1,122,NaN,knife,bicycle,NaN,bicycle4_chair1.png
clip,1,123,NaN,clock,bicycle,NaN,bicycle4_clock1.png
clip,1,124,NaN,knife,bicycle,NaN,bicycle4_dog1.png
clip,1,125,NaN,knife,bicycle,NaN,bicycle4_elephant1.png
clip,1,126,NaN,knife,bicycle,NaN,bicycle4_knife1.png
clip,1,127,NaN,bicycle,bicycle,NaN,bicycle5_bear1.png
clip,1,128,NaN,knife,bicycle,NaN,bicycle5_bird1.png
clip,1,129,NaN,bicycle,bicycle,NaN,bicycle5_bottle1.png
clip,1,130,NaN,bicycle,bicycle,NaN,bicycle5_cat1.png
clip,1,131,NaN,clock,bicycle,NaN,bicycle5_chair1.png
clip,1,132,NaN,clock,bicycle,NaN,bicycle5_clock1.png
clip,1,133,NaN,bicycle,bicycle,NaN,bicycle5_dog1.png
clip,1,134,NaN,bicycle,bicycle,NaN,bicycle5_elephant1.png
clip,1,135,NaN,clock,bicycle,NaN,bicycle5_knife1.png
clip,1,136,NaN,bicycle,bicycle,NaN,bicycle6_bear1.png
clip,1,137,NaN,bicycle,bicycle,NaN,bicycle6_bird1.png
clip,1,138,NaN,bicycle,bicycle,NaN,bicycle6_bottle1.png
clip,1,139,NaN,bicycle,bicycle,NaN,bicycle6_cat1.png
clip,1,140,NaN,bicycle,bicycle,NaN,bicycle6_chair1.png
clip,1,141,NaN,bicycle,bicycle,NaN,bicycle6_clock1.png
clip,1,142,NaN,bicycle,bicycle,NaN,bicycle6_dog1.png
clip,1,143,NaN,bicycle,bicycle,NaN,bicycle6_elephant1.png
clip,1,144,NaN,bicycle,bicycle,NaN,bicycle6_knife1.png
clip,1,145,NaN,bicycle,bicycle,NaN,bicycle7_bear1.png
clip,1,146,NaN,bicycle,bicycle,NaN,bicycle7_bird1.png
clip,1,147,NaN,bicycle,bicycle,NaN,bicycle7_bottle1.png
clip,1,148,NaN,bicycle,bicycle,NaN,bicycle7_cat1.png
clip,1,149,NaN,bicycle,bicycle,NaN,bicycle7_chair1.png
clip,1,150,NaN,bicycle,bicycle,NaN,bicycle7_clock1.png
clip,1,151,NaN,bicycle,bicycle,NaN,bicycle7_dog1.png
clip,1,152,NaN,bicycle,bicycle,NaN,bicycle7_elephant1.png
clip,1,153,NaN,bicycle,bicycle,NaN,bicycle7_knife1.png
clip,1,154,NaN,bicycle,bicycle,NaN,bicycle8_bear1.png
clip,1,155,NaN,bicycle,bicycle,NaN,bicycle8_bird1.png
clip,1,156,NaN,bottle,bicycle,NaN,bicycle8_bottle1.png
clip,1,157,NaN,bicycle,bicycle,NaN,bicycle8_cat1.png
clip,1,158,NaN,bicycle,bicycle,NaN,bicycle8_chair1.png
clip,1,159,NaN,clock,bicycle,NaN,bicycle8_clock1.png
clip,1,160,NaN,bicycle,bicycle,NaN,bicycle8_dog1.png
clip,1,161,NaN,bicycle,bicycle,NaN,bicycle8_elephant1.png
clip,1,162,NaN,bicycle,bicycle,NaN,bicycle8_knife1.png
clip,1,163,NaN,bear,bicycle,NaN,bicycle9_bear1.png
clip,1,164,NaN,knife,bicycle,NaN,bicycle9_bird1.png
clip,1,165,NaN,knife,bicycle,NaN,bicycle9_bottle1.png
clip,1,166,NaN,knife,bicycle,NaN,bicycle9_cat1.png
clip,1,167,NaN,knife,bicycle,NaN,bicycle9_chair1.png
clip,1,168,NaN,clock,bicycle,NaN,bicycle9_clock1.png
clip,1,169,NaN,knife,bicycle,NaN,bicycle9_dog1.png
clip,1,170,NaN,knife,bicycle,NaN,bicycle9_elephant1.png
