subj,session,trial,rt,object_response,category,condition,imagename
dinov2,1,1,NaN,bicycle,bear,NaN,bear0_bicycle1.png
dinov2,1,2,NaN,bear,bear,NaN,bear0_bird1.png
dinov2,1,3,NaN,bottle,bear,NaN,bear0_bottle1.png
dinov2,1,4,NaN,cat,bear,NaN,bear0_cat1.png
dinov2,1,5,NaN,chair,bear,NaN,bear0_chair1.png
dinov2,1,6,NaN,clock,bear,NaN,bear0_clock1.png
dinov2,1,7,NaN,dog,bear,NaN,bear0_dog1.png
dinov2,1,8,NaN,elephant,bear,NaN,bear0_elephant1.png
dinov2,1,9,NaN,knife,bear,NaN,bear0_knife1.png
dinov2,1,10,NaN,bicycle,bear,NaN,bear1_bicycle1.png
dinov2,1,11,NaN,bird,bear,NaN,bear1_bird1.png
dinov2,1,12,NaN,bottle,bear,NaN,bear1_bottle1.png
dinov2,1,13,NaN,cat,bear,NaN,bear1_cat1.png
dinov2,1,14,NaN,chair,bear,NaN,bear1_chair1.png
dinov2,1,15,NaN,clock,bear,NaN,bear1_clock1.png
dinov2,1,16,NaN,dog,bear,NaN,bear1_dog1.png
dinov2,1,17,NaN,elephant,bear,NaN,bear1_elephant1.png
dinov2,1,18,NaN,knife,bear,NaN,bear1_knife1.png
dinov2,1,19,NaN,bicycle,bear,NaN,bear2_bicycle1.png
dinov2,1,20,NaN,bird,bear,NaN,bear2_bird1.png
dinov2,1,21,NaN,bottle,bear,NaN,bear2_bottle1.png
dinov2,1,22,NaN,cat,bear,NaN,bear2_cat1.png
dinov2,1,23,NaN,chair,bear,NaN,bear2_chair1.png
dinov2,1,24,NaN,clock,bear,NaN,bear2_clock1.png
dinov2,1,25,NaN,dog,bear,NaN,bear2_dog1.png
dinov2,1,26,NaN,elephant,bear,NaN,bear2_elephant1.png
dinov2,1,27,NaN,knife,bear,NaN,bear2_knife1.png
dinov2,1,28,NaN,bicycle,bear,NaN,bear3_bicycle1.png
dinov2,1,29,NaN,bear,bear,NaN,bear3_bird1.png
dinov2,1,30,NaN,bottle,bear,NaN,bear3_bottle1.png
dinov2,1,31,NaN,cat,bear,NaN,bear3_cat1.png
dinov2,1,32,NaN,chair,bear,NaN,bear3_chair1.png
dinov2,1,33,NaN,clock,bear,NaN,bear3_clock1.png
dinov2,1,34,NaN,elephant,bear,NaN,bear3_dog1.png
dinov2,1,35,NaN,elephant,bear,NaN,bear3_elephant1.png
dinov2,1,36,NaN,knife,bear,NaN,bear3_knife1.png
dinov2,1,37,NaN,bicycle,bear,NaN,bear4_bicycle1.png
dinov2,1,38,NaN,bird,bear,NaN,bear4_bird1.png
dinov2,1,39,NaN,bottle,bear,NaN,bear4_bottle1.png
dinov2,1,40,NaN,cat,bear,NaN,bear4_cat1.png
dinov2,1,41,NaN,chair,bear,NaN,bear4_chair1.png
dinov2,1,42,NaN,clock,bear,NaN,bear4_clock1.png
dinov2,1,43,NaN,dog,bear,NaN,bear4_dog1.png
dinov2,1,44,NaN,elephant,bear,NaN,bear4_elephant1.png
dinov2,1,45,NaN,knife,bear,NaN,bear4_knife1.png
dinov2,1,46,NaN,bicycle,bear,NaN,bear5_bicycle1.png
dinov2,1,47,NaN,bird,bear,NaN,bear5_bird1.png
dinov2,1,48,NaN,bottle,bear,NaN,bear5_bottle1.png
dinov2,1,49,NaN,cat,bear,NaN,bear5_cat1.png
dinov2,1,50,NaN,chair,bear,NaN,bear5_chair1.png
dinov2,1,51,NaN,clock,bear,NaN,bear5_clock1.png
dinov2,1,52,NaN,dog,bear,NaN,bear5_dog1.png
dinov2,1,53,NaN,elephant,bear,NaN,bear5_elephant1.png
dinov2,1,54,NaN,knife,bear,NaN,bear5_knife1.png
dinov2,1,55,NaN,bicycle,bear,NaN,bear6_bicycle1.png
dinov2,1,56,NaN,bird,bear,NaN,bear6_bird1.png
dinov2,1,57,NaN,bottle,bear,NaN,bear6_bottle1.png
dinov2,1,58,NaN,cat,bear,NaN,bear6_cat1.png
dinov2,1,59,NaN,chair,bear,NaN,bear6_chair1.png
dinov2,1,60,NaN,clock,bear,NaN,bear6_clock1.png
dinov2,1,61,NaN,dog,bear,NaN,bear6_dog1.png
