subj,session,trial,rt,object_response,category,condition,imagename
dinov2,1,1,NaN,airplane,airplane,NaN,n02690373_00008292.png
dinov2,1,2,NaN,airplane,airplane,NaN,n02690373_00010597.png
dinov2,1,3,NaN,airplane,airplane,NaN,n02690373_00016995.png
dinov2,1,4,NaN,airplane,airplane,NaN,n02690373_00018616.png
dinov2,1,5,NaN,airplane,airplane,NaN,n02690373_00028019.png
dinov2,1,6,NaN,airplane,airplane,NaN,n02690373_00030531.png
dinov2,1,7,NaN,airplane,airplane,NaN,n02690373_00032804.png
dinov2,1,8,NaN,airplane,airplane,NaN,n02690373_00033920.png
dinov2,1,9,NaN,airplane,airplane,NaN,n02690373_00039213.png
dinov2,1,10,NaN,airplane,airplane,NaN,n02690373_00043242.png
dinov2,1,11,NaN,airplane,airplane,NaN,n02690373_00044253.png
dinov2,1,12,NaN,airplane,airplane,NaN,n02690373_00046234.png
dinov2,1,13,NaN,airplane,airplane,NaN,n02690373_00046971.png
dinov2,1,14,NaN,bear,bear,NaN,n02132136_00000871.png
dinov2,1,15,NaN,bear,bear,NaN,n02132136_00003044.png
dinov2,1,16,NaN,bear,bear,NaN,n02132136_00011967.png
dinov2,1,17,NaN,bear,bear,NaN,n02132136_00013482.png
dinov2,1,18,NaN,bear,bear,NaN,n02132136_00015955.png
dinov2,1,19,NaN,bear,bear,NaN,n02132136_00034130.png
dinov2,1,20,NaN,bear,bear,NaN,n02132136_00036597.png
dinov2,1,21,NaN,bear,bear,NaN,n02132136_00038263.png
dinov2,1,22,NaN,bear,bear,NaN,n02132136_00039777.png
dinov2,1,23,NaN,bear,bear,NaN,n02132136_00042274.png
dinov2,1,24,NaN,bear,bear,NaN,n02132136_00046207.png
dinov2,1,25,NaN,bear,bear,NaN,n02132136_00046763.png
dinov2,1,26,NaN,bear,bear,NaN,n02132136_00049345.png
dinov2,1,27,NaN,bear,bear,NaN,n02133161_00006350.png
dinov2,1,28,NaN,bear,bear,NaN,n02133161_00012507.png
dinov2,1,29,NaN,bear,bear,NaN,n02133161_00033693.png
dinov2,1,30,NaN,bear,bear,NaN,n02133161_00035292.png
dinov2,1,31,NaN,bear,bear,NaN,n02133161_00035591.png
dinov2,1,32,NaN,bear,bear,NaN,n02133161_00043648.png
dinov2,1,33,NaN,bear,bear,NaN,n02133161_00049613.png
dinov2,1,34,NaN,bear,bear,NaN,n02133161_00049973.png
dinov2,1,35,NaN,bear,bear,NaN,n02134084_00001498.png
dinov2,1,36,NaN,bear,bear,NaN,n02134084_00005369.png
dinov2,1,37,NaN,bear,bear,NaN,n02134084_00005470.png
dinov2,1,38,NaN,bear,bear,NaN,n02134084_00010742.png
dinov2,1,39,NaN,bear,bear,NaN,n02134084_00021962.png
dinov2,1,40,NaN,bear,bear,NaN,n02134084_00030136.png
dinov2,1,41,NaN,bear,bear,NaN,n02134084_00036763.png
dinov2,1,42,NaN,bear,bear,NaN,n02134084_00037133.png
dinov2,1,43,NaN,bear,bear,NaN,n02134084_00037253.png
dinov2,1,44,NaN,bear,bear,NaN,n02134084_00040871.png
dinov2,1,45,NaN,bear,bear,NaN,n02134084_00041156.png
dinov2,1,46,NaN,bear,bear,NaN,n02134418_00002329.png
dinov2,1,47,NaN,bear,bear,NaN,n02134418_00013052.png
dinov2,1,48,NaN,bear,bear,NaN,n02134418_00028703.png
dinov2,1,49,NaN,bear,bear,NaN,n02134418_00032576.png
dinov2,1,50,NaN,bear,bear,NaN,n02134418_00033241.png
dinov2,1,51,NaN,bear,bear,NaN,n02134418_00033782.png
dinov2,1,52,NaN,bear,bear,NaN,n02134418_00034637.png
dinov2,1,53,NaN,bear,bear,NaN,n02134418_00044129.png
dinov2,1,54,NaN,bear,bear,NaN,n02134418_00045098.png
dinov2,1,55,NaN,bear,bear,NaN,n02134418_00048174.png
dinov2,1,56,NaN,bicycle,bicycle,NaN,n02835271_00001012.png
dinov2,1,57,NaN,bicycle,bicycle,NaN,n02835271_00001311.png
dinov2,1,58,NaN,clock,bicycle,NaN,n02835271_00008007.png
dinov2,1,59,NaN,bicycle,bicycle,NaN,n02835271_00011821.png
dinov2,1,60,NaN,bicycle,bicycle,NaN,n02835271_00018975.png
dinov2,1,61,NaN,bicycle,bicycle,NaN,n02835271_00023131.png
dinov2,1,62,NaN,bicycle,bicycle,NaN,n02835271_00026795.png
dinov2,1,63,NaN,bicycle,bicycle,NaN,n02835271_00033559.png
dinov2,1,64,NaN,bicycle,bicycle,NaN,n02835271_00036903.png
dinov2,1,65,NaN,bicycle,bicycle,NaN,n02835271_00037658.png
dinov2,1,66,NaN,bicycle,bicycle,NaN,n02835271_00042496.png
dinov2,1,67,NaN,bicycle,bicycle,NaN,n02835271_00045400.png
dinov2,1,68,NaN,bicycle,bicycle,NaN,n03792782_00001659.png
dinov2,1,69,NaN,bicycle,bicycle,NaN,n03792782_00001661.png
dinov2,1,70,NaN,bicycle,bicycle,NaN,n03792782_00011329.png
dinov2,1,71,NaN,bicycle,bicycle,NaN,n03792782_00018074.png
dinov2,1,72,NaN,bicycle,bicycle,NaN,n03792782_00019203.png
dinov2,1,73,NaN,bicycle,bicycle,NaN,n03792782_00020631.png
dinov2,1,74,NaN,bicycle,bicycle,NaN,n03792782_00024487.png
dinov2,1,75,NaN,bicycle,bicycle,NaN,n03792782_00024517.png
dinov2,1,76,NaN,bicycle,bicycle,NaN,n03792782_00029396.png
dinov2,1,77,NaN,bicycle,bicycle,NaN,n03792782_00032967.png
dinov2,1,78,NaN,bicycle,bicycle,NaN,n03792782_00036119.png
dinov2,1,79,NaN,bicycle,bicycle,NaN,n03792782_00046987.png
dinov2,1,80,NaN,bird,bird,NaN,n01514859_00001114.png
dinov2,1,81,NaN,bird,bird,NaN,n01514859_00001906.png
dinov2,1,82,NaN,bird,bird,NaN,n01514859_00006195.png
dinov2,1,83,NaN,bird,bird,NaN,n01514859_00014879.png
dinov2,1,84,NaN,bird,bird,NaN,n01514859_00014917.png
dinov2,1,85,NaN,clock,bird,NaN,n01514859_00028107.png
dinov2,1,86,NaN,bird,bird,NaN,n01514859_00029619.png
dinov2,1,87,NaN,bird,bird,NaN,n01514859_00041168.png
dinov2,1,88,NaN,bird,bird,NaN,n01514859_00047753.png
dinov2,1,89,NaN,bird,bird,NaN,n01530575_00000747.png
dinov2,1,90,NaN,bird,bird,NaN,n01530575_00002023.png
dinov2,1,91,NaN,bird,bird,NaN,n01530575_00002191.png
